,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RGI60-08.00312,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5210000.0,5208780.0,5206986.5,5191906.0,5192621.0,5190009.0,5188206.0,5178996.0,5174985.5,5175920.5,5168839.0,5164294.5,5170084.5,5162247.0,5159882.0,5143238.0,5133568.5,5128082.0
RGI60-08.00327,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089000.0,1089330.5,1089375.1,1088936.9,1084906.2,1084609.1,1084907.5,1082452.6,1080637.2,1284417.0,1081636.0,1080949.5,1075602.6,1072842.5,1072048.2
RGI60-08.00331,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3571000.0,3570149.2,3569017.8,3560776.8,3548206.8,3544342.8,3543539.5,3536623.2,3526336.2,3532412.8,3527267.0,3531778.0,3521417.0,3518518.8,3522932.0
RGI60-08.00332,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8530000.0,8528446.0,8526526.0,8512962.0,8493621.0,8486832.0,8485441.0,8474540.0,8458240.0,8466277.0,8459880.0,8469126.0,8453132.0,8448973.0,8456394.0
RGI60-08.00343,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,129000.0,132310.89,131048.32,128585.86,127865.93,127807.66,130956.164,128202.5,127144.64,238199.8,126961.336,429858.9,127074.92,126904.89,126925.79
RGI60-08.00358,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,229000.0,228036.05,227102.02,224777.98,223902.98,223052.66,222141.86,220511.0,219025.0,218561.9,217122.75,215701.5,215358.23,213563.98,213022.89,210164.53,208405.73,207549.4
RGI60-08.00381,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,107000.0,106768.66,107078.93,104301.914,104494.19,104358.52,104461.94,102245.98,101883.38,104340.11,100485.72,100214.65,142536.14,101145.19,101310.4,98268.516,96609.42,95988.46
RGI60-08.00401,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,67000.0,65764.96,65186.312,60874.86,57910.633,56483.48,56166.836,53471.105,51262.098,74107.38,51350.023,75407.14,49654.293,48347.965,54649.277
RGI60-08.00405,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,572000.0,570607.6,569225.8,564619.44,562021.4,561058.06,559385.0,557192.75,555252.5,554315.06,552132.94,549247.75,548887.0,545369.8,544878.75,541920.94,540641.56,540247.8
RGI60-08.00418,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2669000.0,2670414.8,2670186.5,2666844.8,2655798.2,2654551.2,2654626.2,2648336.5,2641174.2,2716702.0,2643688.0,2644937.2,2633173.0,2628157.8,2630622.5
