,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RGI60-08.00422,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,132000.0,131719.92,131450.6,129651.516,129232.414,128837.85,128005.555,126672.945,125765.48,125456.98,124224.57,121907.19,134129.44,121372.09,121314.695,119446.24,118801.08,122030.76
RGI60-08.00423,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1601000.0,1600829.5,1600892.9,1600099.0,1597291.8,1597541.2,1597859.0,1596471.6,1595205.5,1845688.4,1596614.5,1596324.9,1592468.1,1591366.5,1686053.0
RGI60-08.00449,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2799000.0,2789354.8,2778836.2,2757096.8,2750972.8,2743993.5,2733311.0,2721492.2,2711533.2,2709691.0,2698012.2,2684772.0,2685654.0,2674075.8,2670542.2,2649265.2,2639585.2,2636115.0
RGI60-08.00503,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96570.484,96619.19,92774.45,90483.85,89448.6,89577.63,87794.414,84285.25,91155.24,84896.445,106310.28,85020.25,84715.94,86644.68
RGI60-08.00518,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,170399.38,168756.31,163133.03,158625.75,155804.61,155137.75,150782.05,144915.33,147470.3,144223.28,179273.02,142507.52,140596.8,140491.88
RGI60-08.00540,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,423581.88,421352.25,416190.78,410775.88,406969.8,405433.1,401139.2,389173.38,388896.4,386058.0,387319.44,371248.47,350242.97,349372.2
RGI60-08.00554,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1407000.0,1408101.9,1406674.4,1403143.9,1399586.8,1397653.6,1397422.4,1394827.6,1389677.8,1389905.5,1387826.8,1454304.5,1383884.9,1381606.9,1379890.6
RGI60-08.00557,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233315.95,233141.27,230494.02,227411.48,225996.23,225715.89,222604.56,219617.19,219945.75,218581.05,255227.64,214470.9,213213.56,212655.53
RGI60-08.00560,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976000.0,976540.0,976427.3,973184.44,970124.4,968836.5,968977.1,966988.94,962565.0,963636.9,961759.8,1021571.9,959105.25,957398.1,956267.9
RGI60-08.00562,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,171000.0,172629.77,171398.72,170608.44,169892.83,169692.3,170949.28,169434.02,168367.17,187569.69,168679.56,313952.56,168543.36,168366.77,168371.73
RGI60-08.00566,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,95563.01,93013.37,85268.53,84801.24,84774.016,93303.99,84422.56,83841.805,105266.05,91990.61,370851.9,84232.016,84218.13,85890.75
RGI60-08.00568,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088000.0,1088129.1,1087439.2,1083086.0,1079023.5,1076925.2,1076642.6,1073784.8,1068037.8,1068189.2,1065880.9,1067962.5,1061572.8,1059092.8,1057338.8
RGI60-08.00572,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102000.0,102376.37,102507.93,101830.77,101209.63,100932.64,100961.33,100541.55,99648.695,110183.76,99478.99,147239.56,99391.234,99136.195,99024.945
RGI60-08.00573,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211000.0,211746.48,211446.66,210502.05,209410.36,209025.92,209068.52,208433.78,206998.89,207187.56,206652.67,230287.95,205553.3,205018.34,204660.4
RGI60-08.00575,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,89679.42,89040.88,86305.39,83429.03,81806.63,81451.68,78087.63,74711.516,75153.71,73362.086,106438.164,69797.39,68720.79,67977.27
RGI60-08.00579,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,124579.96,120546.59,109639.32,108920.0,109138.15,110226.63,109081.82,108111.25,128356.1,108110.06,154213.83,107047.72,106787.19,106676.086
RGI60-08.00793,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,318000.0,317942.3,318152.8,317852.16,316810.12,316841.0,324146.88,316462.25,315935.16,499855.22,316173.75,316035.78,314759.8,314546.8,444151.03
RGI60-08.00794,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,185000.0,180892.88,177462.34,175200.66,172530.78,171707.17,171558.08,170105.8,168691.88,182172.67,168090.56,167604.31,163623.16,161372.89,161570.2
RGI60-08.00795,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267896.38,267986.22,268168.97,267906.8,266039.12,266313.5,266682.5,265749.12,264864.94,337982.66,266060.22,266322.1,263722.88,262820.56,264511.12
RGI60-08.00796,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,151683.08,151480.5,150710.06,149486.48,149025.73,148917.47,148053.22,146669.36,178758.23,146222.86,146208.03,143333.52,142886.12,144031.33
RGI60-08.00798,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87763.234,88131.03,86885.414,85973.46,86313.52,86744.37,86066.94,85573.14,220586.34,91702.54,86056.14,85012.08,84661.18,110569.6
RGI60-08.00799,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559000.0,559556.2,559779.94,559461.4,557949.7,557774.2,559099.3,557368.6,556556.5,659350.0,557033.06,556813.94,554767.1,554101.25,572916.6
RGI60-08.00800,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,958000.0,963663.8,964631.6,963599.9,955991.2,958537.3,960023.2,955255.44,953318.8,1107514.8,955395.56,954156.94,950834.8,949505.75,951391.56
RGI60-08.00801,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,23000.0,22864.309,22669.871,21994.799,19135.443,18854.803,19038.426,17113.129,16095.044,45325.055,16231.006,15429.12,12394.872,11578.075,16485.496
RGI60-08.00803,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,104669.63,106846.94,103718.13,99122.66,105777.82,115905.85,101285.07,100561.56,272444.44,108080.85,103070.65,100326.29,100315.66,131090.89
RGI60-08.00804,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,123000.0,120435.64,118302.78,116313.2,113477.88,113344.24,113568.68,113150.97,112764.4,122536.16,112949.16,113171.65,111550.02,111010.31,111298.195
RGI60-08.00805,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,142000.0,141321.2,140402.69,138358.31,135258.38,134479.06,134520.28,132281.23,131017.375,151912.88,130933.72,130109.445,125395.4,124512.52,133182.67
RGI60-08.00806,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,313568.34,311874.8,309432.78,302817.1,299732.7,299289.3,295790.28,291849.0,300523.53,288933.56,286625.3,278536.56,274653.25,274696.94
RGI60-08.00807,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,153000.0,155334.78,159324.73,153780.84,153370.23,155930.83,163922.03,153813.92,153678.02,264539.78,162343.52,164692.34,153884.58,153803.73,195338.77
RGI60-08.00808,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,628000.0,626456.5,625128.9,622670.0,616973.56,616118.6,615863.3,613475.8,610616.8,642502.06,609177.75,607331.2,602993.75,601339.8,601674.7
RGI60-08.00809,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,228000.0,227770.25,227380.9,226850.97,223633.1,222872.25,228028.94,222885.86,221978.86,250635.98,222909.45,230816.84,219774.38,218041.02,218862.48
RGI60-08.00810,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,212000.0,211097.39,210349.7,208840.3,206562.34,205375.64,204754.72,202616.2,199833.94,211669.75,198857.05,198459.86,195210.27,193856.36,193601.12
RGI60-08.00811,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,561000.0,562251.8,561711.2,560717.44,558087.4,557581.9,558211.44,556230.44,555087.3,628250.25,554487.94,553950.7,550734.0,549285.94,549165.7
RGI60-08.00812,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456000.0,456351.78,455815.4,455270.03,453440.22,452905.88,452438.34,451590.8,450205.28,457851.3,449101.78,449077.84,446158.56,445155.88,445394.38
RGI60-08.00815,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,196000.0,199287.86,200332.9,199315.83,194695.72,198223.14,202266.42,196072.14,194930.23,303168.34,201743.1,198925.73,194438.22,192935.77,234396.62
RGI60-08.00816,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1374000.0,1368843.9,1364951.9,1361500.0,1352390.8,1348336.2,1347921.5,1343254.1,1338487.4,1341114.6,1333484.6,1329878.9,1321607.4,1319123.6,1319406.0
RGI60-08.00817,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,314000.0,312588.34,311109.22,308078.6,304213.53,303014.72,302809.44,299642.03,297942.56,362889.5,297358.06,296564.9,290587.6,289269.94,308415.66
RGI60-08.00818,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3548722.2,3546632.5,3543900.2,3539518.5,3535869.2,3537809.0,3534661.0,3531582.0,3535294.0,3530670.8,3529614.0,3521246.0,3517949.8,3518292.5
RGI60-08.00819,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6579708.0,6578072.5,6573824.0,6562584.5,6560927.5,6560492.5,6553632.5,6546849.0,6554326.5,6548011.5,6545816.5,6530862.5,6524541.5,6525473.0
RGI60-08.00820,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106135.0,106509.98,105296.49,99735.2,100005.27,100525.04,98713.47,96946.695,332077.16,106173.96,102261.41,94073.055,93339.85,165929.12
RGI60-08.00821,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3345555.5,3340333.5,3336278.0,3326898.0,3320302.5,3320417.5,3315895.8,3311556.8,3314849.2,3309344.5,3307804.5,3294225.8,3286481.5,3287514.0
RGI60-08.00825,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,50498.555,50351.277,49044.145,46395.68,46097.895,49574.348,45502.06,44555.934,107595.27,46022.734,52868.285,43232.95,43004.39,62351.773
RGI60-08.00826,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105820.7,106053.59,105629.96,104547.21,105772.555,116302.92,105515.91,104707.11,181716.17,108510.945,111752.32,104215.47,103921.41,138600.53
RGI60-08.00828,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2725971.2,2724936.2,2723489.5,2719009.8,2718181.0,2718251.8,2715431.5,2713166.5,2729912.2,2712863.2,2711655.2,2704960.8,2702152.5,2702268.0
RGI60-08.00829,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,281277.16,281792.44,281857.34,278690.3,279698.88,286013.7,279466.97,278088.88,346954.7,280119.62,280787.62,275477.3,274242.3,281953.03
RGI60-08.00830,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2272469.5,2269853.0,2266863.2,2262925.2,2260851.5,2259384.0,2256546.5,2253178.5,2255157.8,2250851.8,2249268.0,2241475.0,2237846.5,2237099.0
RGI60-08.00831,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405051.3,405189.97,404910.66,404037.3,404173.94,404403.16,404068.4,403621.66,468055.5,404200.44,404399.44,403002.75,402880.0,416753.16
RGI60-08.00832,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,95139.44,94407.27,90842.92,86239.16,85437.56,84913.3,83075.88,80139.45,98068.23,79832.24,79570.11,77050.2,75750.11,81059.39
