"","Date","TESSEVATN","AURSJOEN","RAUDDALSVATN","BREIDALSVATN"
"1",2010-01-01,98808472,30678370,91057528,52022064
"2",2010-01-02,98205864,30361804,89969368,51402424
"3",2010-01-03,97597088,30043142,88878032,50778788
"4",2010-01-04,96983616,29724524,87785648,50153316
"5",2010-01-05,96366576,29405370,86691240,49524996
"6",2010-01-06,95744696,29085128,85594496,48893576
"7",2010-01-07,95117576,28763698,84495576,48259144
"8",2010-01-08,94486248,28441728,83394720,47621952
"9",2010-01-09,93848704,28117536,82291000,46981356
"10",2010-01-10,93204880,27792190,81184904,46337272
"11",2010-01-11,92556336,27465958,80075920,45689404
"12",2010-01-12,91904560,27138892,78964920,45038704
"13",2010-01-13,91248552,26812254,77852912,44386192
"14",2010-01-14,90587912,26484948,76738768,43730560
"15",2010-01-15,89922712,26156880,75622776,43072124
"16",2010-01-16,89252064,25827622,74503968,42409568
"17",2010-01-17,88575520,25496680,73381944,41742496
"18",2010-01-18,87894816,25165346,72258056,41072908
"19",2010-01-19,87210000,24833504,71132696,40401208
"20",2010-01-20,86520056,24500900,70005736,39727168
"21",2010-01-21,85825400,24167466,68876264,39049772
"22",2010-01-22,85125184,23832736,67744144,38368488
"23",2010-01-23,84420248,23497360,66609780,37684156
"24",2010-01-24,83710960,23161224,65473396,36997224
"25",2010-01-25,82996976,22824580,64335200,36307588
"26",2010-01-26,82278184,22487258,63195024,35615108
"27",2010-01-27,81552856,22147926,62051744,34918200
"28",2010-01-28,80820720,21807346,60905888,34218072
"29",2010-01-29,80086488,21467132,59758540,33515628
"30",2010-01-30,79348304,21126320,58608988,32809878
"31",2010-01-31,78605216,20784684,57457288,32101036
"32",2010-02-01,77857176,20442180,56303236,31388876
"33",2010-02-02,77104120,20098802,55146804,30673318
"34",2010-02-03,76346080,19754546,53987964,29954322
"35",2010-02-04,75582952,19409360,52826688,29231832
"36",2010-02-05,74814360,19063084,51662576,28505256
"37",2010-02-06,74040496,18715268,50495092,27774310
"38",2010-02-07,73261632,18367200,49326104,27040700
"39",2010-02-08,72476384,18017962,48154340,26303254
"40",2010-02-09,71686672,17667844,46979308,25561470
"41",2010-02-10,70892464,17317002,45802412,24816458
"42",2010-02-11,70091264,16964552,44622388,24067180
"43",2010-02-12,69286456,16611720,43439256,23313384
"44",2010-02-13,68477064,16258403,42254544,22556532
"45",2010-02-14,67662320,15903395,41065856,21794286
"46",2010-02-15,66842440,15547401,39875012,21028684
"47",2010-02-16,66016960,15190774,38681420,20258464
"48",2010-02-17,65186224,14833305,37485012,19483724
"49",2010-02-18,64349716,14474472,36285280,18703964
"50",2010-02-19,63507880,14114785,35082132,17919026
"51",2010-02-20,62660684,13754511,33876232,17129234
"52",2010-02-21,61807200,13392895,32666828,16334497
"53",2010-02-22,60949460,13030612,31454428,15534744
"54",2010-02-23,60085996,12667717,30239376,14730124
"55",2010-02-24,59215916,12302248,29019528,13918407
"56",2010-02-25,58341048,11937248,27797442,13101872
"57",2010-02-26,57458728,11569424,26569684,12277222
"58",2010-02-27,56569772,11200578,25338670,11446477
"59",2010-02-28,55675936,10831421,24104658,10609287
"60",2010-03-01,54775912,10461322,22866688,9764328
"61",2010-03-02,53868360,10089007,21623022,8910029
"62",2010-03-03,52954036,9714938,20374328,8046218
"63",2010-03-04,52035104,9340285,19121242,7172842
"64",2010-03-05,51108348,8963752,17862936,6288696
"65",2010-03-06,50179188,8588005,16601182,5393102.5
"66",2010-03-07,49238632,8208236.5,15331411,4481266.5
"67",2010-03-08,48290612,7827072,14055595,3553349.25
"68",2010-03-09,47335820,7444828,12774129,2606451
"69",2010-03-10,46370992,7059503.5,11484311,1634004.625
"70",2010-03-11,45411208,6672582,10187398,1704371.375
"71",2010-03-12,44433396,6285368.5,8883131,1774465.75
"72",2010-03-13,43448836,5896834.5,7569925,1843805.375
"73",2010-03-14,42460620,5507976,6247980,1913606.125
"74",2010-03-15,41464076,5117036.5,4913426.5,1981762.875
"75",2010-03-16,40461192,4724816,3565767.5,2050029.625
"76",2010-03-17,39449748,4329828,2202004.75,2117115
"77",2010-03-18,38430512,3932632.5,2255535.5,2182492.75
"78",2010-03-19,37455364,3536358.5,2465226.25,2444738
"79",2010-03-20,36505320,3134099.5,2685189.25,2701460.5
"80",2010-03-21,35611208,2728954,2817402.5,2839525
"81",2010-03-22,34555560,2323827.5,2896718.5,2927618
"82",2010-03-23,33485170,1912938.625,2969962,3009584
"83",2010-03-24,32412016,1501636.375,3040307.75,3089284.5
"84",2010-03-25,31321828,1084081.5,3103454.5,3162324.25
"85",2010-03-26,30223450,664240.5625,3165374.25,3234386
"86",2010-03-27,29217092,677553.1875,3266608.5,3343411.5
"87",2010-03-28,28126606,688506.5,3323016,3412842.75
"88",2010-03-29,26998464,700596.125,3380420.5,3483525.75
"89",2010-03-30,25858314,711382.4375,3435049.5,3551814
"90",2010-03-31,24706348,721266.4375,3485808,3615370.75
"91",2010-04-01,23545786,729434.0625,3534841.5,3677328
"92",2010-04-02,22375814,741717.6875,3585735.5,3740479.75
"93",2010-04-03,21188328,750899.4375,3633600.75,3800566.75
"94",2010-04-04,19985772,758695.0625,3678264.25,3857422.5
"95",2010-04-05,18770516,766566.9375,3723113.75,3914170.25
"96",2010-04-06,17537320,771640.8125,3763731,3966535.25
"97",2010-04-07,16292827,776379.8125,3810354.75,4030411.5
"98",2010-04-08,15226957,829980.9375,3979499.25,4189903.25
"99",2010-04-09,14010566,837192.75,4047027.75,4273082.5
"100",2010-04-10,12688384,841198.8125,4092912.75,4334356.5
"101",2010-04-11,11342216,841322.75,4131925.25,4388393.5
"102",2010-04-12,10105713,855887.5625,4214981,4481427
"103",2010-04-13,8875759,858771.5,4307731.5,4588916.5
"104",2010-04-14,7409094,861254,4349445.5,4647895
"105",2010-04-15,6159399,965380.875,4492414,4796229.5
"106",2010-04-16,4555692.5,974498.8125,4542511.5,4863822.5
"107",2010-04-17,2880758.75,976698.75,4586850.5,4924503.5
"108",2010-04-18,3039934,980921.625,4631036.5,4984384
"109",2010-04-19,3197841.5,986017.8125,4674931.5,5043151
"110",2010-04-20,3345377.75,986297.4375,4711831.5,5094676
