,Date,TESSEVATN,AURSJOEN,RAUDDALSVATN,BREIDALSVATN
1,01/01/1957,NA,NA,NA,NA
2,02/01/1957,NA,NA,111.516891,NA
3,03/01/1957,NA,NA,NA,44.710144
4,04/01/1957,NA,NA,NA,NA
5,05/01/1957,51.974846,NA,NA,43.530071
6,06/01/1957,NA,NA,106.564095,42.939857
7,07/01/1957,NA,NA,NA,42.290943
8,08/01/1957,NA,NA,NA,NA
9,09/01/1957,NA,NA,NA,41.996014
10,10/01/1957,NA,NA,NA,42.114128
11,11/01/1957,NA,NA,102.197571,NA
12,12/01/1957,49.544907,NA,101.22937,42.114128
13,13/01/1957,NA,NA,NA,NA
14,14/01/1957,NA,NA,98.809586,41.406158
15,15/01/1957,NA,NA,NA,NA
16,16/01/1957,NA,NA,96.32888,40.580074
17,17/01/1957,NA,NA,NA,39.989857
18,18/01/1957,NA,NA,NA,NA
19,19/01/1957,46.710186,NA,92.457161,38.810146
20,20/01/1957,NA,NA,NA,NA
21,21/01/1957,NA,NA,NA,NA
22,22/01/1957,NA,NA,88.427849,37.393841
23,23/01/1957,NA,NA,NA,NA
24,24/01/1957,NA,NA,86.108063,36.096016
25,25/01/1957,NA,NA,NA,NA
26,26/01/1957,44.100048,NA,83.439934,34.621014
27,27/01/1957,NA,NA,NA,NA
28,28/01/1957,NA,NA,80.481873,33.443947
29,29/01/1957,NA,NA,NA,NA
30,30/01/1957,NA,NA,77.175835,NA
31,31/01/1957,NA,NA,NA,31.428028
32,01/02/1957,NA,NA,NA,NA
33,02/02/1957,41.000023,NA,72.876122,30.140137
34,03/02/1957,NA,NA,NA,NA
35,04/02/1957,NA,NA,69.851906,28.515917
36,05/02/1957,NA,NA,NA,NA
37,06/02/1957,NA,NA,66.715919,NA
38,07/02/1957,NA,NA,NA,26.310064
39,08/02/1957,NA,NA,NA,NA
40,09/02/1957,37.999489,NA,62.179932,24.825909
41,10/02/1957,NA,NA,NA,NA
42,11/02/1957,NA,NA,NA,23.39513
43,12/02/1957,NA,NA,57.526016,NA
44,13/02/1957,NA,NA,NA,NA
45,14/02/1957,NA,NA,54.610134,21.100061
46,15/02/1957,NA,NA,NA,NA
47,16/02/1957,34.899696,NA,51.747974,19.600122
48,17/02/1957,NA,NA,NA,NA
49,18/02/1957,NA,NA,48.508106,18.149927
50,19/02/1957,NA,NA,NA,NA
51,20/02/1957,NA,NA,NA,NA
52,21/02/1957,NA,NA,44.249916,15.766932
53,22/02/1957,NA,NA,NA,NA
54,23/02/1957,31.500244,NA,41.300087,13.980908
55,24/02/1957,NA,NA,NA,NA
56,25/02/1957,NA,NA,38.400002,12.394068
57,26/02/1957,NA,NA,NA,NA
58,27/02/1957,NA,NA,34.842091,NA
59,28/02/1957,NA,NA,NA,10.048022
60,01/03/1957,NA,NA,NA,NA
61,02/03/1957,28.419088,NA,30.564125,8.529944
62,03/03/1957,NA,NA,NA,NA
63,04/03/1957,NA,NA,27.711864,NA
64,05/03/1957,NA,NA,NA,6.15
65,06/03/1957,NA,NA,24.4,NA
66,07/03/1957,NA,NA,NA,4.559021
67,08/03/1957,NA,NA,21.82958,NA
68,09/03/1957,NA,NA,20.523951,3
69,10/03/1957,24.86418,NA,NA,NA
70,11/03/1957,NA,NA,17.382519,1.840088
71,12/03/1957,NA,NA,NA,NA
72,13/03/1957,NA,NA,NA,1.199951
73,14/03/1957,NA,NA,12.978937,NA
74,15/03/1957,NA,NA,NA,NA
75,16/03/1957,22.691334,NA,10.093054,0.76001
76,17/03/1957,NA,NA,NA,NA
77,18/03/1957,NA,NA,6.911108,0.439941
78,19/03/1957,NA,NA,NA,NA
79,20/03/1957,NA,NA,NA,NA
80,21/03/1957,NA,NA,2.145081,0.199951
81,22/03/1957,19.401609,NA,NA,NA
82,23/03/1957,NA,NA,0,0.080078
83,24/03/1957,NA,NA,-0.131927,NA
84,25/03/1957,NA,NA,NA,0.040039
85,26/03/1957,NA,NA,NA,NA
86,27/03/1957,NA,NA,NA,NA
87,28/03/1957,NA,NA,-0.495081,-0.080078
88,29/03/1957,NA,NA,-0.66004,NA
89,30/03/1957,16.032455,NA,-0.825,-0.120117
90,31/03/1957,NA,NA,NA,NA
91,01/04/1957,NA,NA,NA,-0.199951
92,02/04/1957,NA,NA,-0.98996,NA
93,03/04/1957,NA,NA,NA,NA
94,04/04/1957,NA,NA,-0.98996,-0.23999
95,05/04/1957,NA,NA,NA,NA
96,06/04/1957,12.399976,NA,-0.98996,-0.23999
97,07/04/1957,NA,NA,NA,NA
98,08/04/1957,NA,NA,-1.154919,-0.199951
99,09/04/1957,NA,NA,NA,NA
100,10/04/1957,NA,NA,NA,NA
101,11/04/1957,NA,NA,-1.154919,-0.120117
102,12/04/1957,NA,NA,NA,NA
103,13/04/1957,9.3,NA,-1.320081,-0.080078
104,14/04/1957,NA,NA,NA,NA
105,15/04/1957,NA,NA,NA,-0.080078
106,16/04/1957,NA,NA,-1.48504,NA
107,17/04/1957,NA,NA,NA,NA
108,18/04/1957,NA,NA,-1.48504,-0.040039
109,19/04/1957,NA,NA,NA,NA
110,20/04/1957,6.60011,NA,-1.385944,-0.040039
111,21/04/1957,NA,NA,NA,NA
112,22/04/1957,NA,NA,NA,0
113,23/04/1957,NA,NA,-1.287048,NA
114,24/04/1957,NA,NA,NA,0
115,25/04/1957,NA,NA,-1.187952,NA
116,26/04/1957,NA,NA,NA,NA
117,27/04/1957,4.416211,NA,-1.122089,0.040039
118,28/04/1957,NA,NA,NA,NA
119,29/04/1957,NA,NA,-0.924097,0.040039
120,30/04/1957,NA,NA,NA,NA
121,01/05/1957,NA,NA,-0.825,NA
122,02/05/1957,NA,NA,NA,0.120117
123,03/05/1957,NA,NA,NA,NA
124,04/05/1957,1.535742,NA,-0.627008,0.199951
125,05/05/1957,NA,NA,NA,NA
126,06/05/1957,NA,NA,NA,0.360107
127,07/05/1957,NA,NA,-0.593976,NA
128,08/05/1957,NA,NA,NA,NA
129,09/05/1957,NA,NA,-0.560944,0.52002
130,10/05/1957,NA,NA,NA,NA
131,11/05/1957,0.383789,NA,-0.429016,0.600098
132,12/05/1957,NA,NA,NA,NA
133,13/05/1957,NA,NA,NA,NA
134,14/05/1957,NA,NA,0.16496,0.840088
135,15/05/1957,NA,NA,NA,NA
136,16/05/1957,NA,NA,NA,1.52002
137,17/05/1957,NA,NA,0.98996,NA
138,18/05/1957,2.496094,NA,1.616968,2.439941
139,19/05/1957,NA,NA,2.112048,NA
140,20/05/1957,NA,NA,NA,4.387115
141,21/05/1957,NA,NA,NA,NA
142,22/05/1957,NA,NA,3.370068,NA
143,23/05/1957,NA,NA,NA,6.321906
144,24/05/1957,NA,NA,NA,NA
145,25/05/1957,6.060132,NA,6.170026,7.612116
146,26/05/1957,NA,NA,NA,NA
147,27/05/1957,NA,NA,7.243982,9.588135
148,28/05/1957,NA,NA,NA,NA
149,29/05/1957,NA,NA,NA,NA
150,30/05/1957,NA,NA,10.240973,13.840057
151,31/05/1957,NA,NA,NA,NA
152,01/06/1957,12.600171,NA,NA,17.365059
153,02/06/1957,NA,NA,NA,NA
154,03/06/1957,NA,NA,NA,NA
155,04/06/1957,NA,NA,16.72958,24.985065
156,05/06/1957,NA,NA,NA,NA
157,06/06/1957,NA,NA,18.279999,27.740845
158,07/06/1957,NA,NA,NA,NA
159,08/06/1957,16.321493,NA,19.83042,29.971973
160,09/06/1957,NA,NA,NA,NA
161,10/06/1957,NA,NA,NA,34.267029
162,11/06/1957,NA,NA,21.952099,NA
163,12/06/1957,NA,NA,NA,NA
164,13/06/1957,NA,NA,25.549999,39.694931
165,14/06/1957,NA,NA,NA,NA
166,15/06/1957,23.481514,NA,29.229944,43.943115
167,16/06/1957,NA,NA,NA,NA
168,17/06/1957,NA,NA,34.611866,52.702881
169,18/06/1957,NA,NA,NA,54.53318
170,19/06/1957,NA,NA,39.70005,NA
171,20/06/1957,NA,NA,NA,55.386898
172,21/06/1957,NA,NA,NA,NA
173,22/06/1957,30.200274,NA,41.799965,54.654926
174,23/06/1957,NA,NA,NA,NA
175,24/06/1957,NA,NA,46.300087,53.74015
176,25/06/1957,NA,NA,NA,NA
177,26/06/1957,NA,NA,47.800026,NA
178,27/06/1957,NA,NA,NA,52.397957
179,28/06/1957,NA,NA,NA,NA
180,29/06/1957,32.800213,NA,50.12804,51.727043
181,30/06/1957,NA,NA,51.856079,NA
182,01/07/1957,NA,NA,NA,52.215149
183,02/07/1957,NA,NA,NA,NA
184,03/07/1957,NA,NA,NA,55.20409
185,04/07/1957,NA,NA,61.956055,NA
186,05/07/1957,NA,NA,NA,NA
187,06/07/1957,37.599728,NA,64.476128,56.058182
188,07/07/1957,NA,NA,NA,NA
189,08/07/1957,NA,NA,NA,NA
190,09/07/1957,NA,NA,70.859863,57.462063
191,10/07/1957,NA,NA,NA,NA
192,11/07/1957,NA,NA,75.115921,57.647865
193,12/07/1957,NA,NA,NA,NA
194,13/07/1957,43.399963,NA,79.670143,57.524124
195,14/07/1957,NA,NA,NA,NA
196,15/07/1957,NA,NA,86.862091,57.709927
197,16/07/1957,NA,NA,NA,NA
198,17/07/1957,NA,NA,90.22583,NA
199,18/07/1957,NA,NA,NA,57.400002
200,19/07/1957,NA,NA,NA,NA
201,20/07/1957,51.772762,NA,98.14418,56.972958
202,21/07/1957,NA,NA,101.592354,NA
203,22/07/1957,NA,NA,NA,60.252136
204,23/07/1957,NA,NA,NA,NA
205,24/07/1957,NA,NA,NA,NA
206,25/07/1957,NA,NA,114.691887,63.290073
207,26/07/1957,NA,NA,NA,NA
208,27/07/1957,61.071926,NA,119.721947,64.048042
209,28/07/1957,NA,NA,NA,NA
210,29/07/1957,NA,NA,126.106094,64.43203
