,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
RGI60-08.00818,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0,3547000.0
RGI60-08.00819,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0,6582000.0
RGI60-08.00820,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0
RGI60-08.00821,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0,3350000.0
RGI60-08.00825,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086,51842.086
RGI60-08.00826,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0,105000.0
RGI60-08.00828,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0,2727000.0
RGI60-08.00829,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0,278000.0
RGI60-08.00830,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0,2271000.0
RGI60-08.00831,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0,405000.0
RGI60-08.00832,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0,96000.0
RGI60-08.00833,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0,93000.0
RGI60-08.00834,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
RGI60-08.00835,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0,8764000.0
