,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097
RGI60-08.00312,5195981.5,5190381.0,5175989.5,5171560.5,5160811.0,5144854.0,5138813.5,5135125.0,5126312.0,5124272.5,5113720.0,5099192.0,5085439.5,5083582.5,5072662.0,5062764.5,5051534.5,5045048.5,5032672.5,5034156.0,5022526.5,5006365.0,4988626.0,4951185.5,4943414.0,4927659.5,4870144.5,4807563.5,4790552.0,4725060.0,4713525.5,4693970.0,4632285.5,4611751.0,4179405.2,4159279.8,4086393.5,4072281.2,4068588.2,4053939.5,3853994.0,3133302.8,3126825.8,3053825.8,2781855.5,2462821.8,2396632.0,2225112.0,1998369.2,1994338.2,1762269.4,1641643.4,1639328.6,1315509.9,1306925.1,1146691.8,1142031.0,1011721.4,865443.1,860779.4,854768.4,849942.2,604244.2,347342.94,114902.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00327,1089000.0,1085606.1,1080506.1,1077573.9,1072900.1,1066165.6,1062543.9,1060665.8,1055725.1,1054388.8,1049740.1,1043980.7,1038255.6,1036390.1,1032338.3,1028427.4,1024410.9,1020736.2,1015756.75,1015460.7,1010791.1,936819.4,798546.2,731027.6,729039.25,593436.3,558257.56,508315.3,457976.94,454759.47,417371.38,341346.4,297341.9,184217.03,51358.574,34087.49,33356.566,32574.348,133264.44,12914.182,12767.707,8079.7485,7982.5186,1030.3967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00331,3571000.0,3570108.0,3554375.5,3551837.0,3551414.2,3537957.5,3539675.5,3541364.0,3533214.0,3534318.2,3525919.8,3517975.8,3501308.8,3501152.5,3488281.5,3478209.2,3467091.8,3464917.2,3454349.5,3476515.8,3453056.2,3438976.0,3420963.0,3408966.2,3404030.5,3391184.2,3364938.0,3196695.8,2884834.0,2792884.0,2472718.8,2365696.5,1965383.1,1950903.8,1740009.0,1630365.4,1435588.4,1423607.0,1034449.44,912866.56,843584.56,835667.2,832112.44,704047.1,621522.0,565395.06,560342.0,554139.3,546714.94,385952.66,323931.53,76378.48,75682.484,74469.87,72882.445,34048.137,23141.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00332,8530000.0,8527831.0,8502759.0,8497264.0,8494708.0,8472827.0,8473522.0,8474722.0,8460143.0,8460524.0,8446376.0,8432461.0,8405427.0,8403178.0,8382107.5,8365283.5,8266535.0,8242370.0,8109193.0,8119758.5,7964857.0,7945957.0,7766149.0,7751396.5,7583061.5,7568948.5,7338835.5,7312171.5,7079127.5,7059772.5,7041746.0,6818729.5,6808704.0,6554443.0,6532335.0,6505163.5,6231660.5,6209306.5,6200903.0,5920237.5,5908553.5,5888002.0,5878309.5,5579827.5,4942605.5,4257825.5,3641501.2,3627298.5,3305288.8,3296623.2,2551347.5,1793154.5,1788793.6,1408350.0,1403393.9,1060184.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00343,129000.0,130161.75,128269.0,330280.56,405155.22,128059.47,488930.38,603113.7,566008.06,498029.22,136260.42,130430.195,129068.52,133679.83,127934.91,127011.37,126020.21,368861.16,126576.0,271465.22,125657.01,124787.99,123853.125,123654.82,123338.16,122685.16,121192.69,119415.55,118250.35,110396.04,109203.93,97719.805,97730.9,84986.52,72902.95,72120.51,60201.926,48984.688,48519.547,37590.914,26823.59,16364.516,16249.034,15876.071,8367.306,2643.55,2502.7239,439.53638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00358,226388.42,225599.72,222878.83,222119.58,220125.02,217560.55,216652.89,216079.33,214722.33,214178.75,212470.42,210202.3,208257.5,208233.92,206601.69,201440.7,199914.2,199214.66,192108.03,192128.88,172913.5,104453.125,16171.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00381,104177.22,103190.44,99050.59,97904.68,96038.88,92727.97,91824.47,91101.89,88559.414,88872.45,87392.07,84849.19,81836.7,82912.07,80211.52,79076.04,77683.85,77140.03,74243.484,85405.086,73924.43,72447.1,70530.71,69322.85,67606.25,66802.516,51242.953,26288.463,2884.4116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34390.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.9062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00401,67000.0,64630.414,59161.484,58717.86,58322.2,52531.27,61818.535,56837.13,51076.066,50367.29,47269.234,46724.695,43611.363,42801.324,41129.16,40193.707,38933.336,38990.05,38175.203,50735.332,37306.426,36235.445,23493.9,16930.963,16510.438,9117.162,4808.0947,1465.1902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00405,569023.25,567505.5,562296.2,561645.7,559509.56,557572.75,556979.4,556288.94,555505.0,554635.56,552609.8,548878.6,545616.2,545398.3,543338.8,542041.6,540468.4,539870.56,538618.0,538246.75,535936.25,534033.8,531031.5,528577.44,525307.25,522578.12,520394.8,517968.53,515676.78,512601.1,509870.6,505561.88,504599.5,502761.28,500550.88,498336.94,495847.7,494129.5,493754.47,491878.88,490610.84,487577.56,485222.62,482937.44,481153.44,479376.94,477905.5,476240.53,474684.25,474001.7,472437.12,446191.97,397422.53,350651.6,317364.3,268837.7,267785.53,231964.31,231172.98,197036.0,195766.83,164754.19,113626.45,83626.06,29827.434,12668.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00418,2669000.0,2665356.2,2654218.2,2652056.2,2647078.8,2634026.5,2631043.8,2630224.8,2622967.5,2625384.2,2616439.5,2603714.5,2593947.0,2595767.0,2589094.5,2580645.5,2576128.5,2571300.8,2559669.8,2620676.5,2563426.8,2552149.5,2534733.5,2523800.8,2523252.8,2507880.2,2486664.0,2453757.0,2438157.8,2424049.2,2385493.8,2365924.2,2314392.8,2295494.5,2236558.8,2212269.0,2160857.0,2145704.8,2149086.0,2134811.2,2127612.2,2116041.8,2111542.5,1843012.6,1423516.0,967552.2,756065.3,610769.25,604478.56,774694.75,501830.16,442319.5,768069.56,306005.53,76987.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
