,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097
RGI60-08.00422,131076.72,131010.38,129350.42,128891.65,127771.61,126600.98,126693.305,126512.664,125742.13,127933.29,124934.67,121708.734,120872.0,121353.18,120169.586,119110.25,118330.21,117997.31,117200.484,132049.5,116643.39,114570.62,112646.78,112070.95,111492.15,110096.74,108880.984,106831.12,104872.664,103807.08,102963.79,101664.26,100902.84,99624.52,96524.02,95399.07,94516.42,94034.64,95722.38,93391.7,92780.48,91763.336,91342.51,90071.04,87618.14,86965.17,86499.016,85919.12,85506.27,85252.56,84665.086,84112.66,83755.29,79904.26,33941.76,27922.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00423,1601000.0,1600963.1,1597695.5,1597122.1,1596067.6,1593052.6,1593218.5,1593728.1,1592538.9,1669566.5,1592211.1,1588659.1,1586388.1,1677972.2,1586255.1,1584433.2,1583396.8,1582784.2,1581084.4,1850046.6,1581930.5,1579344.8,1574388.2,1572758.8,1571904.8,1568327.2,1564365.8,1559713.2,1556082.8,1552370.8,1549216.9,1544330.5,1541834.8,1537450.2,1532320.2,1526015.9,1521861.6,1518392.5,1518083.2,1514603.5,1511854.5,1507489.1,1505493.8,1500622.2,1488440.6,1360631.9,1248032.2,1000225.06,781558.0,549207.06,72970.47,24000.66,23842.271,23564.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00449,2767552.0,2756552.5,2735128.8,2721839.5,2706735.0,2685041.8,2673429.2,2664312.8,2652352.0,2638135.0,2622379.8,2609025.0,2598072.5,2594611.0,2581614.5,2570203.2,2558943.8,2553429.2,2539576.5,2532004.0,2512921.5,2498944.0,2482048.0,2466557.5,2454507.8,2437221.0,2415694.0,2396656.5,2378301.8,2360994.0,2345934.5,2284107.5,2220906.2,2168583.2,1931289.1,1800062.0,1687166.1,1616556.4,1611822.9,1415286.8,1412450.8,1321800.9,1276050.4,1112700.8,870386.8,774069.6,770456.25,691195.1,687182.3,841768.5,681295.06,604058.6,561790.8,527260.94,522867.44,519115.44,447079.2,441396.53,437889.7,362958.47,299106.12,130222.82,38416.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00503,96000.0,93768.125,88988.91,88087.69,86712.48,81578.29,81797.555,81601.266,77259.96,76823.64,74942.484,73771.95,69247.35,68909.19,66569.45,63188.324,62117.19,62119.133,61371.625,61906.887,45349.637,35913.73,26479.338,26037.55,17620.799,17382.666,9664.0625,7073.2173,4517.4326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00518,171000.0,164036.11,156917.34,153520.27,148304.17,140248.92,138748.78,135742.55,127325.48,122392.29,116889.516,114207.94,110380.69,108457.29,104819.31,101759.195,96489.92,95295.16,81800.03,77037.266,21573.973,13799.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00540,425000.0,419580.78,411480.78,407292.1,402442.78,393844.44,386178.44,371272.53,346630.5,343254.3,316515.56,288514.44,258261.44,251954.47,222903.33,194540.48,188891.12,186321.67,139874.38,138062.77,131817.48,107264.664,102712.89,98238.24,88634.766,83511.68,79697.586,59420.875,54640.832,52264.617,50157.727,35111.11,7366.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00554,1407000.0,1406280.8,1399777.6,1400090.1,1400075.6,1397000.8,1399304.2,1468755.4,1397497.1,1396616.9,1394187.6,1390250.0,1386087.5,1385214.4,1380141.5,1375067.8,1370807.5,1371519.4,1368403.8,1368517.6,1364446.4,1359620.5,1354352.0,1351646.8,1349296.4,1345455.5,1337664.0,1329186.4,1322931.4,1315646.6,1309648.0,1304302.5,1301210.9,1294683.9,1274356.6,1205734.2,1062507.4,905892.6,902843.25,899453.25,794223.94,789825.1,742173.4,738426.1,668273.0,601940.0,539275.6,536151.8,532263.25,530677.2,471122.9,468158.78,466132.12,463905.8,460638.03,457569.12,445775.9,440308.3,436788.6,424168.3,360726.12,349035.03,345887.9,324250.97,281253.6,277500.88,273044.12,267637.28,254312.83,250481.05,246726.78,241670.19,237261.22,233556.78,228070.36,208596.2,81513.06,12434.505,3365.8032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00557,233000.0,231549.84,227013.17,229244.58,230164.06,225766.83,283935.7,340747.44,227007.28,225416.7,223284.12,221127.1,218646.27,218018.67,213450.53,210842.05,208556.48,208788.81,206521.94,206813.94,204564.67,203036.97,201041.16,199962.17,199268.31,197776.4,194005.44,189092.17,187120.84,184837.64,182815.45,180957.75,180316.16,176884.33,175025.0,147106.62,145850.14,127205.25,126724.26,126087.21,125707.02,85948.88,85686.87,65679.47,47027.527,30245.8,29920.03,29500.883,28942.352,28775.623,28358.422,27880.674,14787.04,14555.669,14193.867,13204.869,8439.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00560,976000.0,976880.8,970740.75,984182.94,975067.3,968898.1,1027984.1,1070523.9,991564.94,979336.25,970587.5,968418.5,964606.7,970547.0,961602.56,957511.1,952624.5,991255.94,952677.1,954442.94,948202.06,943429.8,939054.1,937875.0,935510.0,932252.6,925551.06,908906.7,904164.8,897617.4,891967.56,869254.25,867273.1,861841.25,856814.44,851049.75,844066.44,838582.9,833680.5,828597.1,807087.1,800271.56,797558.06,770434.6,740028.1,708675.06,702843.9,669722.06,660243.44,542998.9,231995.06,30003.426,20012.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00562,171000.0,171117.25,169850.19,170004.36,184584.5,169235.94,204629.34,218627.89,175361.23,178135.12,169853.44,169236.97,167984.7,175677.0,166965.78,166118.19,164775.4,204292.44,164750.9,208909.25,164099.4,162878.5,161840.89,161048.31,160536.11,159725.98,157361.77,155252.89,134735.78,87584.91,67876.04,67363.28,49075.38,32033.076,31744.857,17286.715,10350.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00566,85000.0,85779.22,84715.56,87777.9,163718.94,84573.41,279151.47,342651.62,108348.77,106206.445,89850.4,85017.84,84257.75,92635.64,83426.99,82924.1,82168.01,221724.47,82265.125,302219.72,82141.23,81473.875,80859.445,80427.3,80238.18,79781.32,78363.5,73906.34,64581.066,63840.51,50756.2,38340.082,38339.938,37752.54,26250.873,25847.594,8984.246,8654.194,8489.771,3270.7651,3242.0122,3034.4338,2647.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00568,1088000.0,1088155.0,1080746.0,1081294.2,1081756.8,1076683.9,1079269.0,1081563.6,1079396.6,1079080.5,1076160.5,1073013.6,1068000.2,1068354.5,1062405.1,1056983.2,1050812.4,1052309.6,1049154.1,1049300.4,1042488.4,1036474.4,1030701.5,1028113.8,1024699.25,1020122.56,1011644.5,995991.6,989694.94,971033.6,929594.0,874144.5,704147.75,571315.3,568099.7,564364.75,559822.9,486917.16,483996.25,480929.56,479417.56,475089.7,473408.53,469446.2,396214.25,392266.25,389521.72,385399.56,380453.44,378201.25,374889.84,370787.97,368286.06,364932.75,360082.66,356164.25,199614.94,130159.445,127465.055,124065.96,90171.82,87852.19,85585.76,83212.086,70834.66,68454.3,43701.117,32603.98,21991.625,11066.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00572,102000.0,102012.62,101018.43,101017.27,104205.11,100551.07,120963.88,131100.8,100415.1,102394.66,100363.49,99782.516,98755.516,100484.67,97813.76,97104.76,96025.234,125268.22,95803.83,125311.5,95114.08,94124.74,93302.92,92625.914,92136.125,70673.15,12691.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00573,211000.0,210480.7,208746.3,213685.44,214778.58,208869.7,230004.0,253669.88,209427.97,209194.3,208588.28,207604.6,206585.2,206474.55,204927.83,203490.33,202373.8,202648.44,201837.05,202068.06,201075.14,199877.16,198431.02,194092.17,193675.98,192791.97,185033.6,174307.36,172934.97,160127.52,158963.73,145452.44,145194.39,130188.99,76970.83,56461.9,25040.264,12974.188,6032.4478,1730.4768,1706.1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00575,90000.0,89692.65,84930.305,87024.19,85429.836,81758.62,115774.37,130957.9,88922.76,83232.445,80676.79,77824.5,74787.94,75423.11,70281.99,67644.555,63639.984,79403.73,62330.297,62937.934,59975.027,57382.996,53833.418,53169.285,52271.516,50926.246,46764.273,45343.734,44407.836,7151.964,6771.6904,2399.8052,2320.0771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00579,110000.0,110179.734,109197.55,138470.86,150922.53,110539.48,170711.92,292128.66,148639.14,137128.92,112378.5,109600.49,108893.07,109394.77,107853.836,106832.766,106080.08,125738.18,105662.984,127237.07,105672.02,104894.63,103893.66,103512.45,103288.84,102684.46,101118.29,99448.66,98243.2,96898.266,95794.81,94901.28,94679.76,93499.23,92729.95,91713.695,86639.125,85692.195,85134.195,84393.88,83972.0,77845.55,77494.72,76546.984,42931.85,26830.312,22996.33,15666.207,11106.377,11037.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00793,318000.0,317925.56,316763.3,316566.53,316240.7,315216.1,315293.62,335388.7,315147.7,380363.16,314870.03,313602.1,312776.5,406023.97,312664.97,312047.06,311692.06,311429.56,310876.8,554831.0,331711.53,310434.0,308763.84,308194.12,307968.56,306739.5,305383.9,303824.5,302612.53,301345.1,300288.06,298644.22,297890.7,296417.56,294797.72,292748.2,291459.4,290336.75,291072.34,289286.4,288400.4,287028.84,286428.9,284896.3,283280.25,281148.2,279797.06,227810.4,149027.95,148667.78,88751.61,75967.84,75772.1,48889.516,48560.375,37267.69,36995.926,20849.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00794,185000.0,179899.77,172309.0,171730.52,169163.34,166072.47,164816.31,163978.55,161587.67,162134.02,160280.73,157565.25,155511.86,156337.67,154738.33,153023.5,151714.23,150719.81,149008.14,149579.19,147454.14,144915.22,142144.95,140478.17,139580.25,136797.98,133270.75,130285.2,122982.26,115124.164,98741.89,87833.22,60858.297,39220.496,30982.096,0.0,0.0,0.0,30061.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00795,267896.38,267350.84,264895.06,264477.7,262942.06,260603.86,260108.8,259775.83,258189.8,264498.8,257747.31,254776.14,252849.94,265079.7,253295.9,251981.25,250832.25,249983.89,248115.03,274741.62,248131.77,245444.02,242338.4,238790.97,238319.56,235218.81,231428.73,227989.89,224592.33,221941.23,217120.44,198272.03,167110.25,44223.297,310.40775,0.0,0.0,0.0,225603.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-08.00796,152000.0,151896.64,150123.22,149673.14,148475.66,147244.03,147400.9,147245.97,146368.22,149578.8,145394.7,142931.22,142131.75,142990.83,141495.58,140485.38,139785.02,139523.48,138811.8,164171.58,138389.78,136967.45,133817.84,133297.34,132779.33,131490.58,130448.17,128963.77,127614.88,125937.516,124491.61,121700.555,121057.24,120058.21,118525.96,116806.66,115459.29,114742.86,117232.41,113782.17,112819.58,111189.97,110490.125,107718.31,106584.734,105273.055,104309.81,103040.63,102083.42,101471.74,99950.84,98178.625,96259.25,95547.875,94714.51,94131.195,75767.16,47437.566,29911.473,21467.234,21067.883,20855.506,20582.123,17663.04,10327.325,10102.182,9865.983,9503.127,4805.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
