"","Date","TESSEVATN","AURSJOEN","RAUDDALSVATN","BREIDALSVATN"
"1",2010-01-01,98819000,12099966,91877952,24198148
"2",2010-01-02,98632184,12083348,91478600,23869592
"3",2010-01-03,98445368,12065763,91077432,23538922
"4",2010-01-04,98260040,12049348,90676576,23208306
"5",2010-01-05,98077280,12033498,90275056,22876762
"6",2010-01-06,97895832,12017654,89872600,22544044
"7",2010-01-07,97715280,12001714,89469344,22210250
"8",2010-01-08,97536632,11986114,89065560,21875658
"9",2010-01-09,97357880,11968799,88660320,21539630
"10",2010-01-10,97178968,11950821,88254112,21202094
"11",2010-01-11,97001432,11932446,87846424,20864120
"12",2010-01-12,96826768,11913731,87438136,20539454
"13",2010-01-13,96653944,11895946,87030280,20231574
"14",2010-01-14,96482568,11878010,86621744,19938372
"15",2010-01-15,96312688,11859829,86212832,19659428
"16",2010-01-16,96143408,11840979,85802592,19392740
"17",2010-01-17,95974288,11820959,85390608,19137298
"18",2010-01-18,95807072,11801061,84978256,18894488
"19",2010-01-19,95641792,11781179,84565944,18664094
"20",2010-01-20,95477408,11761064,84153560,18445294
"21",2010-01-21,95314360,11740651,83740232,18236544
"22",2010-01-22,95151776,11719475,83325808,18036820
"23",2010-01-23,94990520,11698188,82910712,17846498
"24",2010-01-24,94830944,11676680,82495200,17665576
"25",2010-01-25,94672704,11655213,82079488,17493510
"26",2010-01-26,94515696,11633623,81663448,17329744
"27",2010-01-27,94358184,11610574,81245960,17172346
"28",2010-01-28,94199912,11586822,80827560,17022182
"29",2010-01-29,94045600,11563988,80409368,16879810
"30",2010-01-30,93893376,11541128,79990704,16743919
"31",2010-01-31,93742296,11518025,79571640,16614431
"32",2010-02-01,93592312,11494636,79152008,16490843
"33",2010-02-02,93443392,11470964,78731800,16372825
"34",2010-02-03,93295536,11447011,78311024,16260100
"35",2010-02-04,93148688,11422729,77889680,16152398
"36",2010-02-05,93002456,11397963,77467384,16048930
"37",2010-02-06,92857056,11372259,77043632,15949241
"38",2010-02-07,92712768,11346912,76620304,15854866
"39",2010-02-08,92568224,11321018,76196200,15764466
"40",2010-02-09,92425368,11294867,75770840,15677409
"41",2010-02-10,92284168,11268628,75345656,15594679
"42",2010-02-11,92142152,11241414,74919448,15515126
"43",2010-02-12,92002728,11214464,74492256,15438412
"44",2010-02-13,91864920,11187692,74065664,15365913
"45",2010-02-14,91727992,11159896,73637328,15295233
"46",2010-02-15,91592184,11131783,73209104,15228361
"47",2010-02-16,91457056,11103719,72780472,15164002
"48",2010-02-17,91322976,11075510,72351432,15102240
"49",2010-02-18,91189448,11046643,71921536,15042581
"50",2010-02-19,91056960,11017635,71490736,14984891
"51",2010-02-20,90925488,10988773,71059776,14929541
"52",2010-02-21,90794160,10959316,70627976,14876502
"53",2010-02-22,90665040,10929954,70195936,14825795
"54",2010-02-23,90536680,10900769,69764104,14777691
"55",2010-02-24,90408240,10869797,69330432,14730113
"56",2010-02-25,90281592,10840099,68897576,14685530
"57",2010-02-26,90154096,10808395,68462208,14640875
"58",2010-02-27,90026632,10776479,68026824,14598438
"59",2010-02-28,89900992,10745094,67591880,14558230
"60",2010-03-01,89775920,10713649,67156584,14519363
"61",2010-03-02,89650136,10680877,66719344,14480762
"62",2010-03-03,89524432,10647232,66280960,14442849
"63",2010-03-04,89401048,10613907,65842264,14406345
"64",2010-03-05,89276816,10579633,65402660,14371058
"65",2010-03-06,89157240,10547135,64964256,14337664
"66",2010-03-07,89033376,10511620,64522756,14303034
"67",2010-03-08,88909232,10475681,64080388,14269559
"68",2010-03-09,88785560,10439669,63637976,14237787
"69",2010-03-10,88659160,10401580,63193260,14205379
"70",2010-03-11,88545232,10362878,62748000,14174066
"71",2010-03-12,88420800,10324929,62302724,14144087
"72",2010-03-13,88297184,10286792,61856812,14114904
"73",2010-03-14,88177592,10249563,61411808,14087660
"74",2010-03-15,88057472,10211581,60965500,14060206
"75",2010-03-16,87938928,10173724,60519368,14034261
"76",2010-03-17,87819856,10134572,60071544,14008490
"77",2010-03-18,87701144,10094728,59622832,13982091
"78",2010-03-19,87635200,10057581,59330280,14149121
"79",2010-03-20,87603920,10016331,59048000,14302209
"80",2010-03-21,87639272,9973963,58677972,14331859
"81",2010-03-22,87523352,9933709,58255044,14311336
"82",2010-03-23,87401760,9889963,57826044,14285897
"83",2010-03-24,87286680,9848320,57394148,14259553
"84",2010-03-25,87164040,9803060,56955048,14228068
"85",2010-03-26,87042816,9757235,56514728,14197240
"86",2010-03-27,87024824,9714837,56113716,14204003
"87",2010-03-28,86934720,9670079,55667880,14171838
"88",2010-03-29,86817960,9626458,55223044,14142542
"89",2010-03-30,86700120,9581534,54775428,14112409
"90",2010-03-31,86581720,9535707,54323944,14079207
"91",2010-04-01,86466416,9488164,53870736,14046143
"92",2010-04-02,86353960,9444737,53419384,14015931
"93",2010-04-03,86236696,9398208,52965008,13984096
"94",2010-04-04,86117464,9350293,52507428,13949264
"95",2010-04-05,85999232,9302454,52050032,13914324
"96",2010-04-06,85877392,9251817,51588408,13875001
"97",2010-04-07,85759416,9200845,51132788,13847190
"98",2010-04-08,85843520,9198736,50799688,13914994
"99",2010-04-09,85805856,9150237,50364976,13906486
"100",2010-04-10,85684832,9098532,49908616,13876072
"101",2010-04-11,85560312,9042945,49448588,13838421
"102",2010-04-12,85576240,9001800,49042752,13839767
"103",2010-04-13,85647584,8948973,48656200,13855569
"104",2010-04-14,85527792,8895745,48228472,13822860
"105",2010-04-15,85690488,8944161,47911016,13879506
"106",2010-04-16,85582768,8897568,47509388,13855412
"107",2010-04-17,85460368,8844057,47111680,13824405
"108",2010-04-18,85343504,8792569,46723340,13792598
"109",2010-04-19,85227376,8741955,46343996,13759677
"110",2010-04-20,85102952,8686524,45966816,13719515
"111",2010-04-21,84981776,8631655,45599172,13679404
"112",2010-04-22,84859200,8576043,45238632,13637195
"113",2010-04-23,84735672,8520254,44883740,13591254
"114",2010-04-24,84618440,8465286,44537800,13545612
"115",2010-04-25,84490792,8407433,44198588,13497964
"116",2010-04-26,84491752,8347226.5,43889632,13476128
"117",2010-04-27,84584552,8349818,43674164,13559116
"118",2010-04-28,84478288,8297444.5,43365564,13525317
"119",2010-04-29,84431328,8243269,43098868,13517812
